date,spx,ndx,CAPE,ECY,Buffett,V,VIX,VIXTerm,PutCall,S,Dev200,Drawdown,WeeklyRSI,T,HY,BreadthRaw,BreadthU,B,base,ndx_overheat,spx_div,ndx_div,heat_spx,heat_ndx,vix_panic,vix_backwardation,raw_band_spx,raw_band_ndx,band_spx,band_ndx,sell_days,sell_signal
2019-08-21,2924.429931640625,7733.22021484375,90.27777777777779,67.5,97.5,81.47222222222223,59.98928762720943,56.291691934505764,12.527233115468405,44.8262723505112,51.27636625119847,66.05407936322135,31.38540478905359,51.475825474870256,63.70790319851075,57.62,50.69866666666667,57.20328493258871,62.38474183849313,False,False,False,62.38474183849313,62.38474183849313,False,False,yellow,yellow,orange,orange,0,False
2019-08-22,2922.949951171875,7707.43017578125,90.27777777777779,67.5,97.5,81.47222222222223,53.64841344222788,44.48317672021824,14.234598630989424,39.53295981835394,50.07189934092271,65.22120786516854,31.38540478905359,50.70253368644146,64.7123519458545,57.42,50.64533333333333,57.67884263959391,60.91564652904714,False,False,False,60.91564652904714,60.91564652904714,False,False,yellow,yellow,orange,orange,0,False
2019-08-23,2847.110107421875,7464.990234375,90.27777777777779,67.5,97.5,81.47222222222223,37.00803212851406,19.954545454545453,11.493001555209958,25.09015128803068,33.83057752216631,55.11410181392627,28.262108262108264,39.88769370926778,62.899678565386566,51.08,45.519999999999996,54.20983928269328,54.25433406648284,False,False,False,54.25433406648284,54.25433406648284,False,False,neutral,neutral,orange,orange,0,False
2019-08-26,2878.3798828125,7575.02001953125,90.27777777777779,67.5,97.5,81.47222222222223,39.90764288582519,20.463495910330195,12.391169154228848,26.79166402247254,40.18809152989098,58.92815352211561,28.262108262108264,43.765617410223925,63.53179972936401,53.66,48.46857142857142,56.00018557896772,55.82822780495978,False,False,False,55.82822780495978,55.82822780495978,False,False,neutral,neutral,orange,orange,0,False
2019-08-27,2869.159912109375,7566.02978515625,90.27777777777779,67.5,97.5,81.47222222222223,34.80995717344754,17.76196244700182,12.185265775567302,23.76055107247204,38.775754671777676,58.061308061308054,28.262108262108264,42.89728675569595,64.1298833079655,52.47,47.10857142857142,55.61922736826846,54.81527108275774,False,False,False,54.81527108275774,54.81527108275774,False,False,neutral,neutral,orange,orange,0,False
2019-08-28,2887.93994140625,7587.89990234375,90.27777777777779,67.5,97.5,81.47222222222223,39.729693563495246,23.96306388132001,13.486637663144805,27.915119372846306,41.591807402084086,59.8093121197941,28.262108262108264,44.63550926828863,64.45722015556308,54.45,49.371428571428574,56.91432436349582,56.41797848552221,False,False,False,56.41797848552221,56.41797848552221,False,False,neutral,neutral,orange,orange,0,False
2019-08-29,2924.580078125,7702.31005859375,90.27777777777779,67.5,97.5,81.47222222222223,46.80893765052181,33.610774818401936,16.091954022988503,34.29430185423185,49.34730538922156,65.31758100362616,28.262108262108264,49.66560257248484,66.14539306846999,56.43,50.38133333333333,58.26336320090166,59.40520131565823,False,False,False,59.40520131565823,59.40520131565823,False,False,neutral,neutral,orange,orange,0,False
2019-08-30,2926.4599609375,7691.0,90.27777777777779,67.5,97.5,81.47222222222223,41.4314381270903,21.64901664145235,13.540372670807457,28.11851311879596,49.0360435875943,65.15789473684211,49.34510250569476,54.75595621935615,65.99053414469236,57.02,50.538666666666664,58.264600405679516,59.13396626399488,False,False,False,59.13396626399488,59.13396626399488,False,False,neutral,neutral,orange,orange,0,False
2019-09-03,2906.27001953125,7609.509765625,84.72222222222221,85.27777777777777,94.16666666666667,86.86111111111111,38.0016051364366,19.64609800362976,11.20769947221359,25.37455665396799,43.7919061302682,61.647760495848445,49.34510250569476,51.429754252077934,63.26237540125021,55.44,50.117333333333335,56.68985436729177,59.61450760768511,False,False,False,59.61450760768511,59.61450760768511,False,False,neutral,neutral,orange,orange,0,False
2019-09-04,2937.780029296875,7719.25,84.72222222222221,85.27777777777777,94.16666666666667,86.86111111111111,49.933128259997325,41.68430601753855,9.310986964618252,35.68428031076891,50.849994014126665,67.2708138447147,49.34510250569476,56.2210580777245,63.26013513513514,56.63,50.434666666666665,56.8474009009009,63.40551913165789,False,False,False,63.40551913165789,63.40551913165789,False,False,yellow,yellow,orange,orange,0,False
2019-09-05,2976.0,7862.5400390625,84.72222222222221,85.27777777777777,94.16666666666667,86.86111111111111,56.632789515913345,52.373035066505444,15.71517219981385,43.29256570873152,60.07900406990663,76.1253361393663,49.34510250569476,63.01174490316455,66.38236784326972,62.97,52.12533333333333,59.253850588301525,67.24590715624862,False,False,False,67.24590715624862,67.24590715624862,False,False,yellow,yellow,orange,orange,0,False
2019-09-06,2978.7099609375,7852.5400390625,84.72222222222221,85.27777777777777,94.16666666666667,86.86111111111111,65.16245487364621,74.08582653369598,15.880893300248147,52.60882931663923,59.712746858168764,76.3911620294599,70.63175867956744,68.27994512347033,66.81864235055724,64.55,52.54666666666667,59.682654508611954,70.93490350533304,False,False,False,70.93490350533304,70.93490350533304,False,False,yellow,yellow,orange,orange,0,False
2019-09-09,2978.429931640625,7832.39990234375,84.72222222222221,85.27777777777777,94.16666666666667,86.86111111111111,63.56951871657754,68.62537764350454,20.186046511627907,51.8184417868244,58.51483963618956,75.75686732904734,70.63175867956744,67.57877908953425,68.35218639203106,67.52,53.33866666666667,60.84542652934886,70.678292316469,False,False,False,70.678292316469,70.678292316469,False,False,yellow,yellow,orange,orange,0,False
