date,asset,strategy_value,fixed_value,cash,cash_pct,in_risk,price
2025-02-20,SPX,707.3727233173811,690.3147190246765,0.0,0.0,False,6117.52001953125
2025-02-21,SPX,695.302025540756,678.5351011945949,0.0,0.0,False,6013.1298828125
2025-02-24,SPX,691.8469957231172,675.1633880097835,0.0,0.0,False,5983.25
2025-02-25,SPX,688.609337948455,672.003805029919,0.0,0.0,False,5955.25
2025-02-26,SPX,688.7030055378832,672.095213863687,0.0,0.0,False,5956.06005859375
2025-02-27,SPX,677.7770397538164,661.4327232817352,0.0,0.0,False,5861.56982421875
2025-02-28,SPX,688.522614972348,671.9191733429583,0.0,0.0,False,5954.5
2025-03-03,SPX,677.4068618995423,661.0955867067605,0.0,0.0,False,5849.72021484375
2025-03-04,SPX,669.1189064050607,653.0071968359233,0.0,0.0,False,5778.14990234375
2025-03-05,SPX,676.5857902252206,660.294285611667,0.0,0.0,False,5842.6298828125
2025-03-06,SPX,664.5297032350798,648.5284970576726,0.0,0.0,False,5738.52001953125
2025-03-07,SPX,668.1983177452141,652.1087750241185,0.0,0.0,False,5770.2001953125
2025-03-10,SPX,650.1749435105405,634.5193854943235,0.0,0.0,False,5614.56005859375
2025-03-11,SPX,645.2545071012389,629.7174282396553,0.0,0.0,False,5572.06982421875
2025-03-12,SPX,648.4077819488317,632.794775403768,0.0,0.0,False,5599.2998046875
2025-03-13,SPX,639.4007596901914,624.0046331724664,0.0,0.0,False,5521.52001953125
2025-03-14,SPX,652.9981725373899,637.2746340087523,0.0,0.0,False,5638.93994140625
2025-03-17,SPX,657.1878941717271,641.3634713645228,0.0,0.0,False,5675.1201171875
2025-03-18,SPX,650.1865349776045,634.5306978505314,0.0,0.0,False,5614.66015625
2025-03-19,SPX,657.2075713938649,641.3826747789634,0.0,0.0,False,5675.2900390625
2025-03-20,SPX,655.7716430714768,639.9813221648253,0.0,0.0,False,5662.89013671875
2025-03-21,SPX,656.3124274178174,640.5090849685905,0.0,0.0,False,5667.56005859375
2025-03-24,SPX,667.8937166082696,651.8115083758664,133.57874332165395,0.20000000000000004,True,5767.56982421875
2025-03-25,SPX,668.7578587664937,652.8376770394817,133.60169554223265,0.19977588867315516,True,5776.64990234375
2025-03-26,SPX,662.8101124443108,645.5540095617132,133.62465170658575,0.20160321817330884,True,5712.2001953125
2025-03-27,SPX,661.0830663626618,643.4191748075032,133.6476118153909,0.20216462743590152,True,5693.31005859375
2025-03-28,SPX,650.6959204407915,630.7198685463469,133.67057586932586,0.20542709992522365,True,5580.93994140625
2025-03-31,SPX,653.5823914201385,634.2131241433306,133.69349082518917,0.20455491546321017,True,5611.85009765625
2025-04-01,SPX,656.5711326483428,637.6112332949438,133.71640970933063,0.20365867925075024,True,5633.06982421875
2025-04-02,SPX,660.1119238454413,641.9012058255288,0.0,0.0,False,5670.97021484375
2025-04-03,SPX,628.1653892025181,610.8359904151179,0.0,0.0,False,5396.52001953125
2025-04-04,SPX,590.6327551059456,574.338781056968,0.0,0.0,False,5074.080078125
2025-04-07,SPX,589.2557110844667,572.9997259877716,0.0,0.0,False,5062.25
2025-04-08,SPX,580.0040873187316,564.0033297153419,0.0,0.0,False,4982.77001953125
2025-04-09,SPX,635.1937245834014,617.6704328679276,0.0,0.0,False,5456.89990234375
2025-04-10,SPX,613.2112072081621,596.2943542053181,0.0,0.0,False,5268.0498046875
2025-04-11,SPX,624.3054827477271,607.0825684298422,0.0,0.0,False,5363.35986328125
2025-04-14,SPX,629.2654102522004,611.9056648335273,0.0,0.0,False,5405.97021484375
2025-04-15,SPX,628.1781775013802,610.8484259191038,0.0,0.0,False,5396.6298828125
2025-04-16,SPX,614.1017275040401,597.1603074339861,0.0,0.0,False,5275.7001953125
2025-04-17,SPX,614.916541070654,597.9526424790578,0.0,0.0,False,5282.7001953125
2025-04-21,SPX,600.4244997787353,583.8603977488533,0.0,0.0,False,5158.2001953125
2025-04-22,SPX,615.5054848609201,598.5253388892861,0.0,0.0,False,5287.759765625
2025-04-23,SPX,625.7605069738233,608.4974524388989,0.0,0.0,False,5375.85986328125
2025-04-24,SPX,638.4378602387577,620.825071519058,0.0,0.0,False,5484.77001953125
2025-04-25,SPX,643.1451477945983,625.4024976328893,0.0,0.0,False,5525.2099609375
2025-04-28,SPX,643.5572152023794,625.8031972057668,0.0,0.0,False,5528.75
2025-04-29,SPX,647.2913984701344,629.4343643696349,0.0,0.0,False,5560.830078125
2025-04-30,SPX,648.2493841471208,630.3659217904415,0.0,0.0,False,5569.06005859375
2025-05-01,SPX,653.3327732291388,635.3366611164831,0.0,0.0,False,5604.14013671875
2025-05-02,SPX,662.9541267454175,644.6929935536897,0.0,0.0,False,5686.669921875
2025-05-05,SPX,658.7234202886052,640.5788223004249,0.0,0.0,False,5650.3798828125
2025-05-06,SPX,653.655703152035,635.6506959045644,0.0,0.0,False,5606.91015625
2025-05-07,SPX,656.4967236917547,638.4134602688064,0.0,0.0,False,5631.27978515625
2025-05-08,SPX,660.3042570396633,642.1161147558811,0.0,0.0,False,5663.93994140625
2025-05-09,SPX,659.8344631645243,641.6592613968058,0.0,0.0,False,5659.91015625
2025-05-12,SPX,681.3178701010067,662.5509058875136,0.0,0.0,False,5844.18994140625
2025-05-13,SPX,686.2561989571709,667.3532080152077,0.0,0.0,False,5886.5498046875
2025-05-14,SPX,686.9592105115106,668.0368550507802,0.0,0.0,False,5892.580078125
2025-05-15,SPX,689.7979540907303,670.7974051736114,0.0,0.0,False,5916.93017578125
2025-05-16,SPX,694.6301765875999,675.496523651564,0.0,0.0,False,5958.3798828125
2025-05-19,SPX,695.2387512052068,676.0883350246252,0.0,0.0,False,5963.60009765625
2025-05-20,SPX,692.5410653289549,673.4649571571906,0.0,0.0,False,5940.4599609375
2025-05-21,SPX,681.3668247517543,662.598512077845,0.0,0.0,False,5844.60986328125
2025-05-22,SPX,681.063704385207,662.3037411900374,0.0,0.0,False,5842.009765625
2025-05-23,SPX,676.4949262181742,657.8608104433099,0.0,0.0,False,5802.81982421875
